# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
10	1LXtFkjw3qL_d962509cdba64e6ca76a6228582eb901	12	0.9170	0.6600,-2.9800 0.6600,-2.1900 3.7200,-2.1900 3.7200,-1.3700 10.1400,-1.3700 10.1400,0.0000 0.6900,0.0000 0.6900,1.5900 -0.4800,1.5900 -0.4800,-0.0400 -8.2900,-0.0400 -8.2900,-2.9800	-8.2900,-3.0100 -8.2500,-3.0100 -8.2500,-3.4400 -7.3900,-3.4400 -7.3900,-3.0000 -6.8300,-3.0000 -6.8300,-3.4400 -6.1200,-3.4400 -6.1200,-3.0000 -5.8600,-3.0000 -5.8600,-3.3600 -5.1000,-3.3600 -5.1000,-3.0000 -5.0600,-3.0000 -5.0600,-3.3600 -4.0300,-3.3600 -4.0300,-3.0000 0.6800,-3.0000 0.6800,-2.2100 3.7200,-2.2000 3.7200,-1.4000 10.1400,-1.3900 10.1400,-0.0300 0.6800,-0.0400 0.6800,1.5700 -0.4800,1.5700 -0.4800,-0.0400 -1.7100,-0.0400 -1.7100,0.3200 -5.7600,0.3200 -5.7600,-0.0400 -8.2900,-0.0400
11	1LXtFkjw3qL_e5c5d8fa1ad94d97bcdb74e69e938ea0	8	0.9600	5.7800,-3.1600 5.7800,-0.3800 3.2100,-0.3800 3.2100,6.4700 -0.5100,6.4700 -0.5100,-0.6500 -2.9900,-0.6500 -2.9900,-3.1600	-3.0000,-3.1200 5.7700,-3.2000 5.8000,-0.6600 3.2300,-0.6400 3.3000,6.4500 -0.4200,6.4900 -0.4900,-0.6000 -2.9700,-0.5700
12	1pXnuDYAj8r_7e1850bf73f24a7f9ab824a82143e1b6	6	0.9170	0.9800,-0.5500 0.9800,0.5700 0.2300,0.5700 0.2300,3.5500 -3.7500,3.5500 -3.7500,-0.5500	-3.6700,-0.6600 -1.2900,-0.4600 -1.2800,-0.6700 -0.9700,-0.6400 -0.9800,-0.4300 -0.3500,-0.3800 -0.3300,-0.5900 0.0400,-0.5600 0.0300,-0.4200 0.6700,-0.3700 0.6800,-0.5100 1.0700,-0.4700 0.9700,0.6400 0.2600,0.5800 0.2400,0.8600 0.2000,0.8600 -0.0300,3.5600 -3.8200,3.2500 -3.7000,1.8200 -3.8700,1.8100
13	1pXnuDYAj8r_834865d0e74042d38b796ded2488d64c	6	0.9900	1.0200,-1.0500 1.0200,6.6700 -0.2900,6.6700 -0.2900,4.8800 -6.0800,4.8800 -6.0800,-1.0500	-6.0500,-1.0600 1.0500,-1.0200 1.0000,6.7000 -0.3200,6.6900 -0.3000,4.9100 -6.0900,4.8700
14	1pXnuDYAj8r_a8ae1f18502e4a6aa301af029f976f5f	6	0.9690	4.2600,-1.6500 4.2600,5.7700 -3.8300,5.7700 -3.8300,0.8400 -3.2600,0.8400 -3.2600,-1.6500	-3.8000,-1.6700 -3.7500,-1.6700 -3.7600,0.8000 -3.8200,0.8000 -3.8000,-1.6700 1.9200,-1.6500 1.9200,-1.4600 2.3000,-1.4600 2.3000,-1.5500 4.2800,-1.5400 4.2500,5.7900 -3.8400,5.7500
15	1pXnuDYAj8r_f6af6b4247ea4353b90f8bce6e05f58a	10	0.9940	0.6400,-11.1300 0.6400,3.2500 -0.5700,3.2500 -0.5700,1.5400 -5.7400,1.5400 -5.7400,-2.4100 -4.2300,-2.4100 -4.2300,-6.8000 -1.3800,-6.8000 -1.3800,-11.1300	-1.3800,-11.1100 0.6500,-11.1100 0.6500,3.2700 -0.6500,3.2700 -0.6500,1.5500 -5.6100,1.5500 -5.6100,0.8400 -5.5500,0.8400 -5.5500,0.4200 -5.7400,0.4200 -5.7400,-2.4100 -4.2200,-2.4000 -4.2200,-6.7900 -1.3800,-6.7900
16	2azQ1b91cZZ_c757b3ad24ed4706bc84645a8e748bee	6	0.9800	1.1900,-1.3300 1.1900,0.7200 0.5000,0.7200 0.5000,2.2700 -4.1400,2.2700 -4.1400,-1.3300	-4.1700,-1.3200 1.1600,-1.3500 1.1700,0.7100 0.4800,0.7100 0.4800,2.2600 -4.1500,2.2800
17	2n8kARJN3HM_3f0be3965cde46ad87538ca4f3e1d271	6	0.9760	-0.1100,-4.6300 -0.1100,-0.7300 4.0800,-0.7300 4.0800,0.8300 -4.6400,0.8300 -4.6400,-4.6300	-4.6400,-4.6200 -0.1100,-4.6200 -0.1100,-0.7200 3.9300,-0.7100 3.9200,0.8500 -4.6500,0.8300
18	2n8kARJN3HM_4cc28f0811834f66a8b759b463fa7f9c	8	0.9770	3.1400,-3.4400 3.1400,1.4000 -0.2800,1.4000 -0.2800,0.6100 -0.7300,0.6100 -0.7300,-0.8500 -0.2500,-0.8500 -0.2500,-3.4400	3.1100,1.4200 -0.2900,1.3900 -0.2900,0.5900 -0.7600,0.5900 -0.7400,-0.8600 -0.2700,-0.8600 -0.2500,-3.4600 3.1600,-3.4300
19	2n8kARJN3HM_5b951c3db95148eb8fb7963165f14e8f	6	0.9370	3.0800,-0.6900 3.0800,5.3300 0.1400,5.3300 0.1400,0.6800 -12.0600,0.6800 -12.0600,-0.6900	-12.0400,-0.4200 -11.5500,-0.4300 -11.5500,-0.5900 3.1000,-0.7000 3.1500,5.1500 0.1800,5.1700 0.1500,0.6900 -12.0300,0.7800
20	2n8kARJN3HM_c897ee33e7bd4d36a122867a2800c9b4	6	0.9950	1.4500,-3.5000 1.4500,1.0000 -2.3600,1.0000 -2.3600,-0.5200 -0.7100,-0.5200 -0.7100,-3.5000	-2.3700,1.0000 -2.3600,-0.5300 -0.7100,-0.5200 -0.7100,-3.5000 1.4500,-3.5000 1.4400,1.0100
21	2n8kARJN3HM_dac4509f882848258838272f16d18302	10	0.9820	2.3400,-2.7600 2.3400,2.6200 0.3300,2.6200 0.3300,0.6700 -6.3500,0.6700 -6.3500,-2.6900 -0.1100,-2.6900 -0.1100,-0.8700 0.4700,-0.8700 0.4700,-2.7600	0.4100,-2.6700 2.3500,-2.6700 2.3300,2.6700 0.3900,2.6600 0.4000,0.6900 -6.3500,0.6700 -6.3400,-2.6900 -0.1100,-2.6700 -0.1200,-0.8500 0.4000,-0.8400 0.4000,-0.9300 0.4800,-0.9300 0.4800,-1.5100 0.4000,-1.5100
22	2n8kARJN3HM_e0b2917ecb6d4e31846957451348f80a	6	0.9910	-0.1500,-6.2000 -0.1500,-0.8100 0.7700,-0.8100 0.7700,1.5500 -2.3100,1.5500 -2.3100,-6.2000	-2.1300,1.5500 -2.1300,1.2000 -2.3100,1.2000 -2.3100,-6.2000 -0.1500,-6.2100 -0.1500,-0.8200 0.7400,-0.8200 0.7400,1.5500
23	2n8kARJN3HM_ea42c4694c05490eb7ae29590321e1a3	6	0.9900	-0.4800,-2.8500 -0.4800,-0.8000 2.7500,-0.8000 2.7500,1.4400 -1.9900,1.4400 -1.9900,-2.8500	-1.9800,-2.8600 -0.4700,-2.8500 -0.4700,-0.8000 2.7500,-0.7900 2.7400,1.4500 -1.9900,1.4400
24	2n8kARJN3HM_ffacc18a27644508a6e4223823a0e2a4	6	1.0000	2.8600,-5.1100 2.8600,0.8800 -1.1900,0.8800 -1.1900,-0.6100 0.5000,-0.6100 0.5000,-5.1100	-1.1800,0.8800 -1.1900,-0.6100 0.5000,-0.6200 0.4900,-5.1100 2.8500,-5.1200 2.8600,0.8700
25	2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59	6	0.9910	1.8700,-1.8600 1.8700,1.1400 0.8200,1.1400 0.8200,2.3000 -1.6400,2.3000 -1.6400,-1.8600	-1.6400,2.3100 -1.6600,-1.8600 1.8500,-1.8800 1.8600,1.1300 0.8200,1.1300 0.8300,2.2900
26	2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94	6	0.9930	1.1100,-1.3700 1.1100,2.2300 -1.8800,2.2300 -1.8800,1.1400 -2.9300,1.1400 -2.9300,-1.3700	-2.9300,-1.3600 1.1100,-1.3800 1.1300,2.2100 -1.8600,2.2300 -1.8600,1.1500 -2.9100,1.1600
27	2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e	6	0.9940	1.9500,-0.9900 1.9500,0.0600 3.9800,0.0600 3.9800,2.6200 -1.0200,2.6200 -1.0200,-0.9900	-1.0200,-0.9900 1.9500,-0.9900 1.9500,0.0600 3.9800,0.0600 3.9800,2.6200 -1.0100,2.6300
28	2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371	6	1.0000	0.5500,-1.3300 0.5500,2.7700 -3.1600,2.7700 -3.1600,-0.1200 -2.0100,-0.1200 -2.0100,-1.3300	-2.0000,-1.3200 0.5600,-1.3200 0.5600,2.7800 -3.1500,2.7800 -3.1500,-0.1100 -2.0000,-0.1100
29	2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881	6	1.0000	0.6300,-1.0900 0.6300,0.0400 1.8800,0.0400 1.8800,2.5000 -2.3400,2.5000 -2.3400,-1.0900	-2.3500,-1.0700 0.6200,-1.0900 0.6300,0.0400 1.8700,0.0300 1.8800,2.5000 -2.3300,2.5200
30	5LpN3gDmAk7_1d47ba7d0b094cee93aad6322445fd4b	6	1.0000	2.4300,-3.5500 2.4300,0.5600 -2.6000,0.5600 -2.6000,-7.0900 -1.7400,-7.0900 -1.7400,-3.5500	-2.5900,0.5600 -2.5900,-7.0900 -1.7300,-7.0900 -1.7300,-3.5500 2.4400,-3.5500 2.4400,0.5600
31	5LpN3gDmAk7_3a9381248af24e2795095eda5bee2270	6	0.9930	2.4800,-0.5100 2.4800,3.4600 -0.9000,3.4600 -0.9000,1.4300 -4.2800,1.4300 -4.2800,-0.5100	-4.2800,-0.5200 2.4800,-0.5200 2.4800,3.4600 -0.8900,3.4600 -0.8900,1.4200 -4.2800,1.4200
32	5LpN3gDmAk7_4e928c0ff7504619b7c308a354c78f5f	10	0.9860	-0.1400,-2.6700 -0.1400,-0.6100 2.1900,-0.6100 2.1900,0.6300 -0.1900,0.6300 -0.1900,4.6700 -5.9300,4.6700 -5.9300,0.4000 -1.5200,0.4000 -1.5200,-2.6700	-1.5400,-2.6900 -0.2000,-2.6900 -0.1900,-0.6500 2.1700,-0.6600 2.1800,0.5900 -0.1900,0.6000 -0.1700,4.6500 -5.9200,4.6700 -5.9400,0.4000 -1.5300,0.3800
33	5LpN3gDmAk7_69da3742bce54199a1f2a49ecabf8618	6	0.9920	5.5900,-1.7400 5.5900,-0.7100 2.0100,-0.7100 2.0100,3.2800 -2.0600,3.2800 -2.0600,-1.7400	-2.0300,3.2900 -2.0600,-1.7300 5.5800,-1.7600 5.5900,-0.7300 2.0100,-0.7100 2.0300,3.2700
34	5LpN3gDmAk7_83108d9e987b45c484362f5cda5b1bd1	6	0.9960	3.3600,-2.4600 3.3600,2.2300 -1.9100,2.2300 -1.9100,3.9800 -3.1900,3.9800 -3.1900,-2.4600	-3.1800,-2.4800 3.3700,-2.4500 3.3600,2.2400 -1.9000,2.2200 -1.9100,3.9800 -3.2000,3.9700
35	5LpN3gDmAk7_85b4d3014af0457e9bb0827ea6e18925	6	0.9890	2.9700,-3.1200 2.9700,-2.0300 6.6300,-2.0300 6.6300,0.9200 -0.7200,0.9200 -0.7200,-3.1200	-0.7100,-3.1200 2.8800,-3.1100 2.8800,-2.0200 6.6400,-2.0100 6.6200,0.9500 -0.7200,0.9200
36	5LpN3gDmAk7_89e86606acae450e99ab412da3e1defd	8	0.9960	3.0300,-2.2100 3.0300,0.5300 1.3900,0.5300 1.3900,2.4100 -3.2700,2.4100 -3.2700,-0.9900 1.8600,-0.9900 1.8600,-2.2100	-3.2600,-0.9900 1.8700,-0.9900 1.8700,-2.2100 3.0400,-2.2100 3.0400,0.5300 1.3900,0.5300 1.3900,2.4100 -3.2600,2.4100
37	5LpN3gDmAk7_92b53ec4323443c1a4f64e6722f0e8f1	8	0.9970	0.0300,-5.2000 0.0300,-0.6600 0.7100,-0.6600 0.7100,0.6600 -1.3700,0.6600 -1.3700,-0.9600 -2.9700,-0.9600 -2.9700,-5.2000	-2.9700,-5.1900 0.0300,-5.2000 0.0400,-0.6500 0.7200,-0.6500 0.7200,0.6600 -1.3600,0.6600 -1.3600,-0.9600 -2.9500,-0.9500
38	5LpN3gDmAk7_a7a41dd2adbf4a69a12d49254f8a14e5	8	0.9840	3.5500,-1.5700 3.5500,0.9900 3.0800,0.9900 3.0800,3.9400 -3.0400,3.9400 -3.0400,-0.5500 2.1400,-0.5500 2.1400,-1.5700	2.2100,-1.5600 3.4700,-1.5600 3.4700,-0.3700 3.4100,-0.3700 3.4100,0.0300 3.5700,0.0300 3.5700,1.0300 3.0900,1.0300 3.0800,3.9500 -3.0300,3.9200 -3.0200,-0.5700 2.2100,-0.5400
39	5LpN3gDmAk7_ccabfad5dfcd47cd821e57a15a58d55c	6	0.9980	1.5200,-2.0100 1.5200,2.0100 -2.1200,2.0100 -2.1200,0.6700 -6.0500,0.6700 -6.0500,-2.0100	-6.0500,-2.0200 1.5200,-2.0000 1.5100,2.0100 -2.1300,2.0100 -2.1200,0.6700 -6.0600,0.6700
40	5LpN3gDmAk7_d8b984d439ea4b09928f11d867f661cb	6	1.0000	3.0500,-0.6100 3.0500,0.4100 0.8700,0.4100 0.8700,4.5500 -3.1100,4.5500 -3.1100,-0.6100	-3.1200,4.5400 -3.1100,-0.6100 3.0500,-0.6000 3.0500,0.4200 0.8800,0.4200 0.8700,4.5500
41	5LpN3gDmAk7_f1426ef89da84f05bf939918945f71aa	6	1.0000	0.6300,-1.3300 0.6300,0.2200 2.6500,0.2200 2.6500,4.8200 -1.5100,4.8200 -1.5100,-1.3300	-1.5100,4.8100 -1.5100,-1.3400 0.6400,-1.3400 0.6400,0.2100 2.6500,0.2100 2.6400,4.8200
42	5ZKStnWn8Zo_1e6520e3cc06443cb3a54ab6461064b6	6	0.9950	0.6300,-1.3400 0.6300,1.0100 1.9500,1.0100 1.9500,1.8700 -2.9900,1.8700 -2.9900,-1.3400	-3.0000,-1.3400 0.6300,-1.3500 0.6400,1.0100 1.9500,1.0100 1.9500,1.8700 -2.9900,1.8800
43	5ZKStnWn8Zo_35f5b361dca240ef8effcee3a2d02b68	6	0.9940	3.1200,-0.7900 3.1200,0.9200 1.7800,0.9200 1.7800,5.3200 -2.5300,5.3200 -2.5300,-0.7900	-2.5200,-0.7900 3.1300,-0.7900 3.1300,0.8200 1.7900,0.8200 1.7900,5.3200 -2.5200,5.3100
44	5ZKStnWn8Zo_41e93c57be774f0f8d4389a19eeb4cd5	10	0.9980	6.7100,-0.8700 6.7100,1.1800 2.1300,1.1800 2.1300,2.3000 0.4900,2.3000 0.4900,0.8500 -0.5300,0.8500 -0.5300,6.0900 -4.9900,6.0900 -4.9900,-0.8700	-4.9800,-0.8600 6.7200,-0.8800 6.7200,1.1800 2.1400,1.1800 2.1400,2.2900 0.4900,2.2900 0.4900,0.8600 0.4200,0.8600 0.4200,0.7000 -0.3200,0.7000 -0.3200,0.8600 -0.5200,0.8600 -0.5100,6.0900 -4.9700,6.1000
45	5ZKStnWn8Zo_54b7c9b192714638ac7b01b4a5400d29	8	0.9810	0.5400,-0.9900 0.5400,0.2800 2.9100,0.2800 2.9100,3.2300 0.7000,3.2300 0.7000,2.3000 -1.5900,2.3000 -1.5900,-0.9900	-1.5800,-1.0100 0.5500,-1.0000 0.5500,0.2700 2.9100,0.2800 2.9000,3.2300 0.6900,3.2200 0.6900,2.2900 -1.6000,2.2800
46	5ZKStnWn8Zo_65d4a26be97b4519ae11c4c65aece4c5	6	0.9970	-0.1100,-3.1600 -0.1100,-0.4400 0.6000,-0.4400 0.6000,0.3800 -4.0500,0.3800 -4.0500,-3.1600	-4.0400,-3.1700 -0.0900,-3.1600 -0.1000,-0.5000 -0.0100,-0.5000 -0.0100,-0.4300 0.6100,-0.4300 0.6100,0.3800 -4.0400,0.3700
47	5ZKStnWn8Zo_9b029358672b4874a8c4834d41c55c0e	6	0.9910	1.4500,-2.7800 1.4500,-0.3600 2.7000,-0.3600 2.7000,0.4800 -2.2000,0.4800 -2.2000,-2.7800	-2.2100,-2.7800 1.4400,-2.7900 1.4400,-0.3600 2.6900,-0.3600 2.6900,0.4700 -2.2100,0.4800
48	5ZKStnWn8Zo_b2569ef8136042bc9a20e30814e578f4	8	0.9880	1.9900,-3.7900 1.9900,0.4400 1.1600,0.4400 1.1600,0.9600 -0.5000,0.9600 -0.5000,0.4600 -1.3300,0.4600 -1.3300,-3.7900	-1.3300,-3.8100 2.0000,-3.8200 2.0000,0.4200 1.1700,0.4200 1.1700,0.9400 -0.4900,0.9400 -0.4900,0.4200 -1.3200,0.4200
49	5ZKStnWn8Zo_ce7589e64ee6481dab982bb3dc59e08e	10	0.9630	0.3900,-2.8700 0.3900,-2.2500 2.6800,-2.2500 2.6800,1.3000 1.9700,1.3000 1.9700,1.8200 0.2800,1.8200 0.2800,1.2900 -0.4800,1.2900 -0.4800,-2.8700	-0.4500,-2.9200 0.5500,-2.9100 0.5400,-2.2800 2.7000,-2.2600 2.6600,1.2800 1.9400,1.2700 1.9400,1.8000 0.2500,1.7800 0.2600,1.3200 0.1400,1.3200 0.1400,1.2600 -0.5000,1.2500
50	5ZKStnWn8Zo_e51817dd7c914c66a74365729c79c211	6	0.9970	1.5600,-0.7900 1.5600,0.9200 0.6000,0.9200 0.6000,6.4900 -3.9600,6.4900 -3.9600,-0.7900	-3.9500,-0.7900 1.5800,-0.7900 1.5700,0.8200 0.6100,0.8200 0.6100,6.5000 -3.9500,6.4900
51	5ZKStnWn8Zo_f6f4628612b2444e80b41e015247178e	6	0.9940	-0.0600,-4.5900 8.5400,-4.5900 8.5400,0.5900 -4.7700,0.5900 -4.7700,-1.4300 -0.0600,-1.4300	-0.0600,-4.5800 8.5500,-4.5900 8.5500,0.5200 5.8200,0.5200 5.8200,0.6000 -1.6400,0.6000 -1.6400,0.4300 -2.2300,0.4300 -2.2300,0.6000 -4.7600,0.6000 -4.7600,-1.4300 -0.0600,-1.4300
52	5ZKStnWn8Zo_f7ea2b9238c4406192bc928f5625e79a	8	0.9950	-1.1100,1.2400 -1.1100,-7.3500 3.2000,-7.3500 3.2000,-0.4800 5.3600,-0.4800 5.3600,0.4700 -0.0100,0.4700 -0.0100,1.2400	-1.1100,-7.3500 3.0800,-7.3400 3.0800,-6.3400 3.1900,-6.3400 3.1900,-0.4700 5.3500,-0.4700 5.3500,0.4800 -0.1000,0.4800 -0.1000,1.2400 -1.1200,1.2300
53	5ZKStnWn8Zo_ffa79f02cca84b42bce24be9d0a52e81	8	0.9810	1.1100,-1.0600 1.1100,-0.5700 1.8100,-0.5700 1.8100,3.5500 -1.2600,3.5500 -1.2600,-0.5700 -0.4900,-0.5700 -0.4900,-1.0600	-0.4900,-1.0200 1.1200,-1.0200 1.1200,-0.5400 1.8100,-0.5400 1.8100,3.5900 -1.2600,3.5900 -1.2600,-0.5400 -0.4900,-0.5400
54	5q7pvUzZiYa_7939ba3afc934e268aec59027819ae4b	6	0.9820	2.5700,-1.5000 2.5700,0.6300 0.1800,0.6300 0.1800,4.0500 -5.0700,4.0500 -5.0700,-1.5000	-5.0700,-1.4700 -0.1900,-1.5100 -0.1900,-1.4200 2.5700,-1.4500 2.5800,0.6000 0.1900,0.6200 0.2200,4.0400 -5.0300,4.0800
55	5q7pvUzZiYa_ffbed768a549496c9752a736bff9efd5	6	0.9930	3.6200,-2.3600 3.6200,-0.4600 1.3600,-0.4600 1.3600,3.5900 -3.6800,3.5900 -3.6800,-2.3600	1.3700,3.5900 -3.6700,3.6100 -3.6900,-2.3400 3.6000,-2.3600 3.6100,-0.4600 1.3500,-0.4500
56	759xd9YjKW5_14af8cbc71694b0ab5ca408ceb1c2cdb	10	0.9860	1.8600,-4.0600 1.8600,-2.8900 4.5700,-2.8900 4.5700,0.4700 1.0700,0.4700 1.0700,5.9100 -1.0600,5.9100 -1.0600,3.8800 -2.5000,3.8800 -2.5000,-4.0600	-1.0900,5.9000 -1.0800,3.8800 -2.5100,3.8800 -2.4900,-4.0700 1.4400,-4.0600 1.4400,-4.0200 1.8600,-4.0200 1.8600,-3.0400 1.4300,-3.0400 1.4300,-2.8900 3.0700,-2.8900 3.0700,-2.7200 3.7300,-2.7200 3.7300,-2.7700 4.5800,-2.7700 4.5700,0.4700 1.0800,0.4600 1.0600,5.9100
57	759xd9YjKW5_481282c812c24f8292054a9c8b23adb9	8	1.0000	1.3700,-2.2200 1.3700,1.9300 0.1900,1.9300 0.1900,3.4200 -1.9300,3.4200 -1.9300,1.9500 -2.6800,1.9500 -2.6800,-2.2200	-1.9400,3.4100 -1.9300,1.9300 -2.6800,1.9300 -2.6700,-2.2300 1.3800,-2.2200 1.3700,1.9400 0.1900,1.9400 0.1800,3.4200
58	759xd9YjKW5_7f0b1a5b010945c1b27da9828360d402	10	0.9930	0.2900,-5.0600 0.2900,-0.4800 0.7200,-0.4800 0.7200,0.6600 -0.6100,0.6600 -0.6100,1.7800 -2.1600,1.7800 -2.1600,0.6300 -3.1100,0.6300 -3.1100,-5.0600	-3.1200,-5.0600 0.2000,-5.0600 0.2000,-3.6500 0.2900,-3.6500 0.2900,-0.4900 0.7100,-0.4900 0.7100,0.6500 -0.5900,0.6500 -0.5900,1.7800 -2.1700,1.7800 -2.1700,0.6500 -3.1100,0.6500
59	759xd9YjKW5_fffe7407b0324ceca095d418d02e2ea3	6	1.0000	2.3900,-5.0400 2.3900,4.0700 0.0300,4.0700 0.0300,2.1300 -1.1600,2.1300 -1.1600,-5.0400	-1.1600,2.1400 -1.1800,-5.0300 2.3800,-5.0300 2.3900,4.0800 0.0200,4.0800 0.0100,2.1400
60	7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211	6	0.9880	2.1300,-3.6100 2.1300,-0.9800 0.7500,-0.9800 0.7500,3.0900 -5.7300,3.0900 -5.7300,-3.6100	-5.7400,-3.5800 2.1100,-3.6300 2.1300,-1.0000 0.7500,-0.9900 0.7700,1.4000 0.6000,1.4000 0.6000,2.0800 0.7700,2.0800 0.7800,2.5800 0.6000,2.5800 0.6100,3.0700 -5.7000,3.1200
61	7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76	8	0.9940	3.3900,-2.2300 3.3900,-0.0000 1.6500,-0.0000 1.6500,2.3600 -2.0300,2.3600 -2.0300,0.5100 -0.9400,0.5100 -0.9400,-2.2300	-0.9600,-2.2300 3.3800,-2.2300 3.3900,-0.0000 1.6500,-0.0000 1.6500,2.3500 -1.1700,2.3600 -1.1700,2.2400 -2.0400,2.2400 -2.0400,0.5100 -0.9500,0.5100
62	7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9	8	0.9440	-0.0900,-1.5900 -0.0900,-0.6200 2.1500,-0.6200 2.1500,0.7300 -0.0700,0.7300 -0.0700,10.5100 -1.4600,10.5100 -1.4600,-1.5900	-1.4400,-1.5600 -0.0500,-1.5400 -0.0600,-0.5900 2.1600,-0.5700 2.1400,0.7900 -0.0700,0.7700 -0.1500,10.5500 -1.5500,10.5300
63	7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73	6	0.9850	0.7700,-1.5800 0.7700,-0.8900 4.6000,-0.8900 4.6000,4.9100 -1.6800,4.9100 -1.6800,-1.5800	-1.6700,-1.6200 0.6800,-1.6000 0.6800,-0.9200 4.6100,-0.8900 4.5800,4.9000 -1.7000,4.8700
